"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2017","16.497","16.410","16.410","16.265","0.03K","0.60%"
"Jul 24, 2017","16.398","16.415","16.465","16.355","0.12K","-0.64%"
"Jul 23, 2017","16.504","16.500","16.506","16.448","-","0.57%"
"Jul 21, 2017","16.410","16.250","16.440","16.250","0.07K","0.68%"
"Jul 20, 2017","16.299","16.180","16.325","16.135","0.07K","0.30%"
"Jul 19, 2017","16.251","16.140","16.250","16.130","0.05K","0.18%"
"Jul 18, 2017","16.222","16.025","16.255","16.025","0.10K","1.07%"
"Jul 17, 2017","16.050","16.100","16.110","16.040","0.06K","0.17%"
"Jul 16, 2017","16.022","15.966","16.024","15.947","-","0.87%"
"Jul 14, 2017","15.884","15.635","15.965","15.585","0.06K","1.55%"
"Jul 13, 2017","15.642","15.890","15.890","15.640","0.02K","-1.24%"
"Jul 12, 2017","15.839","15.770","15.875","15.760","0.06K","0.90%"
"Jul 11, 2017","15.697","15.575","15.760","15.400","0.16K","0.77%"
"Jul 10, 2017","15.577","15.540","15.615","15.150","0.29K","-0.08%"
"Jul 09, 2017","15.589","15.597","15.604","15.538","-","1.42%"
"Jul 07, 2017","15.371","15.960","15.965","15.300","0.30K","-3.49%"
"Jul 06, 2017","15.927","15.995","16.000","15.885","0.19K","0.54%"
"Jul 05, 2017","15.842","16.100","16.100","15.835","0.62K","-1.76%"
"Jul 04, 2017","16.126","16.152","16.169","16.013","-","0.55%"
"Jul 03, 2017","16.037","16.580","16.580","16.030","0.43K","-3.35%"
"Jul 02, 2017","16.593","16.601","16.613","16.583","-","0.15%"
"Jun 30, 2017","16.568","16.590","16.630","16.440","1.34K","-0.11%"
"Jun 29, 2017","16.586","16.770","16.860","16.555","17.57K","-0.77%"
"Jun 28, 2017","16.715","16.745","16.745","16.685","0.01K","0.38%"
"Jun 27, 2017","16.651","16.560","16.780","16.550","51.95K","0.55%"
"Jun 26, 2017","16.560","16.425","16.555","16.425","0.00K","-0.72%"
"Jun 25, 2017","16.680","16.685","16.720","16.655","-","0.31%"
"Jun 23, 2017","16.628","16.650","16.650","16.650","0.00K","0.84%"
"Jun 22, 2017","16.490","16.440","16.440","16.440","0.00K","0.83%"
"Jun 21, 2017","16.355","16.460","16.470","16.330","0.02K","-0.26%"
"Jun 20, 2017","16.398","16.470","16.570","16.375","0.05K","-0.52%"
"Jun 19, 2017","16.483","16.510","16.530","16.500","0.01K","-1.11%"
"Jun 18, 2017","16.668","16.649","16.669","16.642","-","0.19%"
"Jun 16, 2017","16.636","16.735","16.735","16.695","0.00K","-0.33%"
"Jun 15, 2017","16.691","16.630","16.730","16.630","0.01K","-2.43%"
"Jun 14, 2017","17.107","16.840","17.180","16.840","0.08K","2.20%"
"Jun 13, 2017","16.738","16.915","16.915","16.765","0.04K","-1.04%"
"Jun 12, 2017","16.914","17.115","17.115","17.005","0.01K","-1.36%"
"Jun 11, 2017","17.147","17.165","17.178","17.119","-","-0.27%"
"Jun 09, 2017","17.193","17.455","17.455","17.175","0.03K","-1.10%"
"Jun 08, 2017","17.384","17.595","17.605","17.365","0.02K","-1.15%"
"Jun 07, 2017","17.587","17.625","17.690","17.510","0.10K","-0.51%"
"Jun 06, 2017","17.677","17.510","17.695","17.510","0.02K","0.74%"
"Jun 05, 2017","17.547","17.545","17.600","17.545","0.01K","-0.15%"
